t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm,i_mean_60s,t_rem_min_dis
7292916,3.80788,3.817,3.7989,49.9786,0.5032399999999998,DISCH,49.72026,7291.902,1.0010000000002035,1.9162772680000009,0.7153265482161212,3.8074125220681614,0.0004674779318372,0.06,0.5002509999999998,283.1271832475938
7293903,3.80876,3.8189,3.7968,49.9394,0.5026599999999999,DISCH,49.7196,7292.889,0.98700000000008,1.9145101160000009,0.7153266245952776,3.807401416080205,0.0013585839197949,0.06,0.5003166666666664,283.0900529728472
7294894,3.80956,3.8196,3.799,50.9396,0.5011399999999997,DISCH,49.70402,7293.88,0.9909999999999854,1.9091223800000008,0.7153484843637627,3.807492672995145,0.002067327004855,0.06,0.5003486666666664,283.08059827085594
7295888,3.80962,3.8195,3.7991,50.0124,0.5028599999999999,DISCH,49.6975,7294.874,0.9939999999996872,1.9157044940000003,0.7153739841423072,3.8074256895364393,0.0021943104635613,0.06,0.500386333333333,283.0693794465015
7296888,3.809,3.8174,3.801,49.6977,0.5028799999999998,DISCH,49.69012,7295.874,1.0,1.9154699040000007,0.7153788681371545,3.807466837119462,0.0015331628805381,0.06,0.5004413333333331,283.040201631007
7297897,3.8083,3.8214,3.799,50.614,0.5001599999999998,DISCH,49.70172,7296.883,1.0090000000000146,1.9047624740000009,0.7153567752583724,3.8076379785804257,0.0006620214195742,0.06,0.5004609999999997,283.0203382504487
7298900,3.8079,3.8209,3.8014,50.21,0.5004999999999998,DISCH,49.69068,7297.886,1.0030000000006112,1.9058572420000008,0.7153243461873126,3.807580892882133,0.0003191071178667,0.06,0.5004869999999998,282.9928060970373
7299914,3.80718,3.8219,3.799,49.4564,0.5014999999999998,DISCH,49.71002,7298.9,1.0139999999992142,1.9093058860000007,0.7152727471665035,3.807465571802725,-0.0002855718027245,0.06,0.5005306666666665,282.9477060459187
7300910,3.80748,3.8203,3.8004,50.1902,0.5003999999999997,DISCH,49.70516,7299.896,0.9960000000000946,1.9052662060000007,0.7152318278420366,3.8074464426626498,3.3557337350220706e-05,0.06,0.5005459999999997,282.92285207098513
7301904,3.80828,3.8206,3.801,50.1867,0.5006999999999998,DISCH,49.69274,7300.89,0.9940000000005966,1.9068097460000009,0.7152182688989793,3.8073598987947017,0.0009201012052981,0.06,0.5005486666666664,282.91598134713104
7302911,3.80844,3.8203,3.7952,50.2467,0.5023599999999998,DISCH,49.68062,7301.897,1.006999999999607,1.9132080260000008,0.7152127517827537,3.807236398202146,0.001203601797854,0.06,0.5005733333333331,282.8998578689475
